"地域等_番号","地域等_地域","区分","農林業経営体","農林業経営体_農業経営体","農林業経営体_農業経営体_家族経営","農林業経営体_林業経営体","農林業経営体_林業経営体_家族経営"
"30.0","和歌山県","1.0","22072.0","21496.0","21347.0","1240.0","998.0"
"201.0","和歌山市","2.0","2200.0","2193.0","2186.0","12.0","8.0"
"202.0","海南市","3.0","1355.0","1352.0","1346.0","14.0","14.0"
"203.0","橋本市","4.0","1127.0","1103.0","1092.0","76.0","75.0"
"204.0","有田市","5.0","964.0","964.0","951.0","2.0","2.0"
"205.0","御坊市","6.0","621.0","615.0","611.0","9.0","5.0"
"206.0","田辺市","7.0","2431.0","2239.0","2219.0","313.0","248.0"
"207.0","新宮市","8.0","95.0","72.0","72.0","29.0","19.0"
"208.0","紀の川市","9.0","3064.0","3058.0","3039.0","42.0","40.0"
"209.0","岩出市","10.0","498.0","498.0","497.0","2.0","2.0"
"304.0","紀美野町","11.0","463.0","455.0","453.0","56.0","55.0"
"341.0","かつらぎ町","12.0","1097.0","1087.0","1083.0","77.0","76.0"
"343.0","九度山町","13.0","304.0","301.0","300.0","9.0","9.0"
"344.0","高野町","14.0","59.0","50.0","50.0","25.0","21.0"
"361.0","湯浅町","15.0","369.0","368.0","360.0","1.0","1.0"
"362.0","広川町","16.0","361.0","359.0","358.0","25.0","25.0"
"366.0","有田川町","17.0","2127.0","2104.0","2083.0","105.0","101.0"
"381.0","美浜町","18.0","99.0","99.0","99.0","-","-"
"382.0","日高町","19.0","389.0","389.0","386.0","6.0","6.0"
"383.0","由良町","20.0","199.0","198.0","196.0","3.0","3.0"
"390.0","印南町","21.0","709.0","706.0","704.0","11.0","10.0"
"391.0","みなべ町","22.0","1373.0","1368.0","1363.0","27.0","23.0"
"392.0","日高川町","23.0","903.0","736.0","733.0","265.0","170.0"
"401.0","白浜町","24.0","364.0","349.0","347.0","18.0","8.0"
"404.0","上富田町","25.0","380.0","368.0","365.0","32.0","25.0"
"406.0","すさみ町","26.0","122.0","102.0","101.0","25.0","14.0"
"421.0","那智勝浦町","27.0","152.0","147.0","142.0","12.0","8.0"
"422.0","太地町","28.0","8.0","7.0","7.0","1.0","1.0"
"424.0","古座川町","29.0","110.0","94.0","92.0","22.0","13.0"
"427.0","北山村","30.0","8.0","4.0","3.0","4.0","2.0"
"428.0","串本町","31.0","121.0","111.0","109.0","17.0","14.0"
