"地域等_番号","地域等_地域","区分","計","主業農家","主業農家_65歳未満の農業専従者が　い　る","準主業農家","準主業農家_65歳未満の農業専従者が　い　る","副業的農家"
"30.0","和歌山県","1.0","20352.0","6769.0","6156.0","3468.0","1690.0","10115.0"
"201.0","和歌山市","2.0","2173.0","406.0","331.0","358.0","138.0","1409.0"
"202.0","海南市","3.0","1270.0","485.0","440.0","208.0","102.0","577.0"
"203.0","橋本市","4.0","1026.0","161.0","133.0","234.0","111.0","631.0"
"204.0","有田市","5.0","865.0","373.0","342.0","148.0","77.0","344.0"
"205.0","御坊市","6.0","608.0","264.0","254.0","77.0","46.0","267.0"
"206.0","田辺市","7.0","2112.0","842.0","780.0","351.0","193.0","919.0"
"207.0","新宮市","8.0","72.0","10.0","9.0","3.0","-","59.0"
"208.0","紀の川市","9.0","2903.0","975.0","883.0","501.0","256.0","1427.0"
"209.0","岩出市","10.0","493.0","74.0","59.0","93.0","32.0","326.0"
"304.0","紀美野町","11.0","423.0","68.0","58.0","69.0","35.0","286.0"
"341.0","かつらぎ町","12.0","1025.0","329.0","297.0","185.0","87.0","511.0"
"343.0","九度山町","13.0","261.0","74.0","70.0","62.0","32.0","125.0"
"344.0","高野町","14.0","37.0","6.0","5.0","2.0","-","29.0"
"361.0","湯浅町","15.0","351.0","227.0","221.0","40.0","20.0","84.0"
"362.0","広川町","16.0","350.0","169.0","161.0","62.0","41.0","119.0"
"366.0","有田川町","17.0","1959.0","778.0","723.0","314.0","174.0","867.0"
"381.0","美浜町","18.0","98.0","29.0","23.0","15.0","7.0","54.0"
"382.0","日高町","19.0","381.0","63.0","53.0","61.0","22.0","257.0"
"383.0","由良町","20.0","185.0","59.0","56.0","37.0","26.0","89.0"
"390.0","印南町","21.0","678.0","276.0","256.0","117.0","59.0","285.0"
"391.0","みなべ町","22.0","1301.0","681.0","647.0","263.0","134.0","357.0"
"392.0","日高川町","23.0","693.0","171.0","151.0","120.0","42.0","402.0"
"401.0","白浜町","24.0","340.0","62.0","47.0","48.0","14.0","230.0"
"404.0","上富田町","25.0","346.0","107.0","91.0","61.0","24.0","178.0"
"406.0","すさみ町","26.0","94.0","18.0","14.0","12.0","5.0","64.0"
"421.0","那智勝浦町","27.0","138.0","31.0","28.0","10.0","6.0","97.0"
"422.0","太地町","28.0","4.0","-","-","1.0","-","3.0"
"424.0","古座川町","29.0","70.0","12.0","10.0","7.0","3.0","51.0"
"427.0","北山村","30.0","3.0","1.0","-","-","-","2.0"
"428.0","串本町","31.0","93.0","18.0","14.0","9.0","4.0","66.0"
